Age,Gender,Country,self_employed,family_history,treatment,remote_work,anonymity,leave,phys_health_consequence,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,support_available,disc_MH_atwork
25,male,Americas,No,No,No,Yes,Don't know,Don't know,No,Maybe,Yes,Yes,No,1.0,0.6666666666666666
31,male,Americas,Yes,Yes,No,Yes,Yes,Somewhat difficult,No,Maybe,Maybe,Yes,No,0.0,0.6666666666666666
32,male,Americas,No,Yes,Yes,Yes,Don't know,Somewhat difficult,No,No,Yes,No,No,0.0,0.5
28,male,Europe,No,No,No,Yes,Don't know,Very easy,No,Maybe,Yes,Yes,No,0.375,0.3333333333333333
38,male,Americas,No,Yes,No,Yes,Don't know,Don't know,No,Maybe,Maybe,Yes,No,0.75,0.5
23,male,Europe,No,No,No,No,Don't know,Very easy,No,Maybe,Maybe,Yes,No,0.75,0.5
30,male,Americas,No,No,No,No,Don't know,Don't know,No,No,No,No,No,0.0,0.5
27,female,Americas,Yes,No,Yes,Yes,Yes,Very easy,Maybe,No,Maybe,Yes,No,1.0,0.6666666666666666
33,male,Americas,No,Yes,No,No,Don't know,Don't know,No,No,Maybe,No,No,0.0,0.3333333333333333
31,male,Americas,No,No,No,No,Don't know,Don't know,No,Maybe,Maybe,No,No,0.25,0.5
39,male,Europe,Yes,No,Yes,No,Don't know,Very difficult,No,No,Maybe,No,Yes,0.0,0.3333333333333333
34,female,Americas,No,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,No,Don't know,No,0.5,0.6666666666666666
29,female,Americas,No,No,Yes,No,Don't know,Don't know,No,No,Maybe,No,Yes,0.5,0.5
32,male,Americas,No,No,No,No,Don't know,Don't know,No,No,No,Don't know,No,0.25,0.3333333333333333
31,male,Americas,No,No,No,No,Yes,Somewhat easy,No,No,No,Yes,No,1.0,0.5
40,male,Americas,No,No,Yes,No,Yes,Very difficult,No,Yes,Yes,No,No,0.25,0.6666666666666666
34,male,Americas,No,No,No,No,Don't know,Somewhat easy,No,No,Maybe,Don't know,No,0.125,0.3333333333333333
18,other,Asia,No,No,No,Yes,Yes,Somewhat easy,No,Yes,Yes,Don't know,No,0.5,0.6666666666666666
25,female,Americas,No,No,Yes,No,Don't know,Don't know,No,No,Maybe,Don't know,No,0.625,0.6666666666666666
29,male,Americas,No,No,No,No,Don't know,Don't know,No,Maybe,Maybe,No,No,0.25,0.6666666666666666
24,male,Americas,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Maybe,Don't know,No,0.375,0.3333333333333333
31,male,Americas,No,Yes,Yes,No,Don't know,Don't know,No,Maybe,Yes,No,No,0.125,0.5
33,male,Americas,No,No,Yes,No,Don't know,Somewhat easy,No,No,Maybe,No,No,0.25,0.3333333333333333
30,male,Americas,No,No,Yes,No,Yes,Somewhat easy,No,Maybe,Maybe,Yes,No,0.25,0.6666666666666666
26,female,Americas,No,Yes,Yes,No,No,Very difficult,No,No,Maybe,No,Yes,0.25,0.3333333333333333
44,female,Americas,No,No,No,No,Don't know,Don't know,Maybe,No,No,Don't know,No,0.625,0.3333333333333333
25,male,Americas,No,Yes,No,No,Don't know,Very easy,No,No,No,Don't know,No,0.375,0.5
33,male,Americas,No,Yes,Yes,Yes,Yes,Somewhat easy,No,Maybe,Maybe,Yes,No,1.0,0.5
29,male,Americas,No,No,No,No,Don't know,Somewhat easy,No,No,No,Don't know,No,0.75,0.5
35,male,Americas,No,Yes,No,No,Yes,Somewhat easy,No,No,No,Don't know,No,0.375,0.5
35,male,Americas,No,Yes,Yes,Yes,Don't know,Somewhat easy,No,No,Maybe,No,No,0.25,0.5
28,male,Americas,No,Yes,Yes,No,No,Don't know,No,No,No,Don't know,Yes,0.0,0.8333333333333333
34,male,Americas,No,Yes,No,Yes,Don't know,Don't know,No,No,No,Don't know,No,0.25,0.16666666666666666
32,male,Americas,No,No,Yes,No,Yes,Somewhat difficult,No,No,Maybe,Yes,No,0.75,0.6666666666666666
22,male,Americas,No,No,Yes,No,Yes,Don't know,No,No,Yes,No,No,0.625,0.3333333333333333
28,male,Americas,No,No,Yes,No,Yes,Somewhat easy,No,No,Maybe,Yes,No,1.0,0.3333333333333333
45,male,Americas,No,Yes,Yes,Yes,Yes,Very easy,No,Yes,Yes,Yes,No,0.75,0.6666666666666666
32,male,Americas,No,No,No,No,Don't know,Don't know,No,No,No,Don't know,No,0.625,0.5
